,city,lat,lon,temperature,weather_code,sunrise,sunset,moonrise,moonset,co,no2,o3,so2,pm2_5,pm10,wind_speed,wind_degree,wind_dir,pressure,precip,humidity,cloudcover,feelslike,visibility
35,Rishikesh,30.117,78.317,17,113,07:04:00,17:18:00,01:00:00,13:01:00,338.85,1.45,169,18.85,37.25,38.35,4,344,NNW,1017,0.0,50,6,17,10
36,Jodhpur,26.287,73.03,24,113,07:17:00,17:48:00,01:21:00,13:24:00,318.85,3.05,152,13.85,12.45,12.45,4,346,NNW,1014,0.0,18,11,23,10
37,Udaipur,27.717,75.483,21,116,07:11:00,17:35:00,01:12:00,13:15:00,302.85,3.45,143,11.05,7.65,7.65,8,357,N,1015,0.0,15,56,21,10
38,Ajmer,26.45,74.633,22,113,07:11:00,17:41:00,01:14:00,13:18:00,247.85,2.05,153,13.65,12.25,12.25,5,112,ESE,1015,0.0,21,11,22,10
39,Kota Bharu,6.133,102.25,26,176,07:12:00,18:58:00,01:47:00,14:03:00,132.85,1.65,65,1.95,5.85,7.25,10,94,E,1009,0.2,89,25,30,10
40,Alwar,27.567,76.6,20,116,07:05:00,17:31:00,01:06:00,13:09:00,525.85,2.45,186,31.15,75.85,78.15,5,97,E,1015,0.0,28,32,20,10
41,Bikaner,28.017,73.3,23,122,07:20:00,17:43:00,01:20:00,13:23:00,265.85,2.25,128,15.15,11.75,12.35,4,98,E,1014,0.0,13,100,22,10
42,Sikar,27.617,75.15,21,116,07:11:00,17:36:00,01:12:00,13:15:00,206.85,2.15,141,8.05,5.75,5.85,5,339,NNW,1015,0.0,17,44,21,10
43,Churu,28.3,74.95,22,119,07:13:00,17:36:00,01:13:00,13:16:00,371.85,5.45,136,11.15,10.35,10.35,8,14,NNE,1015,0.0,13,64,22,10
44,Sri Ganganagar,29.917,73.883,21,122,07:21:00,17:36:00,01:18:00,13:19:00,1082.85,12.65,116,23.75,57.75,58.25,7,98,E,1015,0.0,16,100,21,10
